schema_version,fact_id,location_ref,state_or_territory,technology_code,committed_down_mbps,committed_up_mbps,period_start,period_end,download_mbps,upload_mbps,latency_ms_mean,download_tests_total,download_tests_meeting_threshold,upload_tests_total,upload_tests_meeting_threshold,latency_tests_total,latency_tests_at_or_below_100ms,uptime_pct,outage_hours_365d,measurement_method,device_class,sample_set_id,is_cai,provenance.source_org,provenance.collected_by,provenance.collected_at,provenance.tool,provenance.methodology_ref
0.1.0,7bd05355-d48a-4bfe-807c-e38473cbe249,BSL-100204000,NV,71,100.0,20.0,2026-07-06T00:00:00Z,2026-07-12T23:59:59Z,315.5,44.7,11.8,42,42,42,42,2520,2520,100.0,0.0,ont_cpe_builtin,base_node,NV-71-100x20-2026,false,Example Broadband Equipment Co.,mfg-exporter,2026-08-01T04:00:00Z,bead-data 0.1.0,https://example-equipment.example/test-methodology/v2
0.1.0,50bc806d-9648-4f46-8fb4-7dac34f0133e,BSL-100204001,NV,71,100.0,20.0,2026-07-06T00:00:00Z,2026-07-12T23:59:59Z,296.3,44.9,12.0,42,42,42,42,2520,2520,100.0,0.0,ont_cpe_builtin,remote_node,NV-71-100x20-2026,false,Example Broadband Equipment Co.,mfg-exporter,2026-08-01T04:00:00Z,bead-data 0.1.0,https://example-equipment.example/test-methodology/v2
0.1.0,b1ccfcb0-3d8e-494e-ae6b-34ac44724e1e,BSL-100204002,NV,71,100.0,20.0,2026-07-06T00:00:00Z,2026-07-12T23:59:59Z,316.0,42.5,10.3,42,42,42,42,2520,2520,100.0,0.0,ont_cpe_builtin,remote_node,NV-71-100x20-2026,false,Example Broadband Equipment Co.,mfg-exporter,2026-08-01T04:00:00Z,bead-data 0.1.0,https://example-equipment.example/test-methodology/v2
0.1.0,f3d1ed10-38ee-4071-b284-cc0c775b8246,BSL-100204003,NV,71,100.0,20.0,2026-07-06T00:00:00Z,2026-07-12T23:59:59Z,318.1,41.9,9.6,42,42,42,42,2520,2520,100.0,0.0,ont_cpe_builtin,remote_node,NV-71-100x20-2026,false,Example Broadband Equipment Co.,mfg-exporter,2026-08-01T04:00:00Z,bead-data 0.1.0,https://example-equipment.example/test-methodology/v2
0.1.0,a89547ec-db48-4fcd-ba2d-a11cc2e032df,BSL-100204004,NV,71,100.0,20.0,2026-07-06T00:00:00Z,2026-07-12T23:59:59Z,326.8,46.4,11.5,42,42,42,42,2520,2520,100.0,0.0,ont_cpe_builtin,remote_node,NV-71-100x20-2026,false,Example Broadband Equipment Co.,mfg-exporter,2026-08-01T04:00:00Z,bead-data 0.1.0,https://example-equipment.example/test-methodology/v2
0.1.0,c9fba2e9-7e8a-4d6d-82b1-2009a5f93f07,BSL-100204005,NV,71,100.0,20.0,2026-07-06T00:00:00Z,2026-07-12T23:59:59Z,332.1,41.8,12.0,42,42,42,42,2520,2520,100.0,0.0,ont_cpe_builtin,base_node,NV-71-100x20-2026,false,Example Broadband Equipment Co.,mfg-exporter,2026-08-01T04:00:00Z,bead-data 0.1.0,https://example-equipment.example/test-methodology/v2
0.1.0,bb2383f5-f976-460f-ab66-7196fbf9feb6,BSL-100204006,NV,71,100.0,20.0,2026-07-06T00:00:00Z,2026-07-12T23:59:59Z,332.0,40.1,12.9,42,42,42,42,2520,2520,100.0,0.0,ont_cpe_builtin,remote_node,NV-71-100x20-2026,false,Example Broadband Equipment Co.,mfg-exporter,2026-08-01T04:00:00Z,bead-data 0.1.0,https://example-equipment.example/test-methodology/v2
0.1.0,9ba18d20-1525-4ab7-850b-c70c079aaff2,BSL-100204007,NV,71,100.0,20.0,2026-07-06T00:00:00Z,2026-07-12T23:59:59Z,300.9,38.0,14.5,42,42,42,42,2520,2520,100.0,0.0,ont_cpe_builtin,remote_node,NV-71-100x20-2026,false,Example Broadband Equipment Co.,mfg-exporter,2026-08-01T04:00:00Z,bead-data 0.1.0,https://example-equipment.example/test-methodology/v2
0.1.0,18a8cf6a-a15b-45b0-805e-7e905ec9fca4,BSL-100204008,NV,71,100.0,20.0,2026-07-06T00:00:00Z,2026-07-12T23:59:59Z,335.7,46.1,14.0,42,42,42,42,2520,2520,100.0,0.0,ont_cpe_builtin,remote_node,NV-71-100x20-2026,false,Example Broadband Equipment Co.,mfg-exporter,2026-08-01T04:00:00Z,bead-data 0.1.0,https://example-equipment.example/test-methodology/v2
0.1.0,22d2a3a6-1d80-440c-b892-03b74b87e3e5,BSL-100204009,NV,71,100.0,20.0,2026-07-06T00:00:00Z,2026-07-12T23:59:59Z,323.3,40.6,12.8,42,42,42,42,2520,2520,100.0,0.0,ont_cpe_builtin,remote_node,NV-71-100x20-2026,false,Example Broadband Equipment Co.,mfg-exporter,2026-08-01T04:00:00Z,bead-data 0.1.0,https://example-equipment.example/test-methodology/v2
